idmod_res
004
02I
04X
08Q
08T
0AD
0C
0DC
0DG
0DT
0G
0KL
0KX
0KZ
0L3
0L4
0L5
0L6
0L7
0OH
0OJ
0R5
0R6
0R8
0TD
0U
0UH
10C
125
126
127
12A
18M
18Q
1AP
1CC
1FC
1FZ
1GC
1MA
1MG
1RN
1RT
1SC
1TL
1TW
23G
23T
2AD
2AR
2AT
2AU
2BA
2BD
2BP
2BT
2BU
2DA
2DT
2EG
2FE
2FI
2GT
2IA
2L8
2LA
2LF
2MA
2MG
2MU
2NT
2OP
2OT
2PR
2QY
2QZ
2R3
2RI
2ST
31H
31M
365
3AD
3AT
3AU
3AY
3D1
3DA
3GL
3ME
3TD
40A
40C
40G
40T
47C
4BD
4DG
4DU
4OC
4PC
4SC
4SU
574
5AA
5AT
5BU
5CF
5CG
5CM
5FC
5FU
5GP
5HC
5HT
5HU
5IC
5IU
5MC
5MU
5NC
5OC
5OH
5PC
5PY
5SE
5SI
5UA
63G
63H
64P
64T
6AP
6CF
6GO
6GU
6HA
6HC
6HG
6HT
6IA
6MA
6MP
6MZ
6OG
6PO
70U
7DA
7GU
7MG
84T
8AG
8AN
8BA
8DG
8FG
8MG
8OG
9DG
A1P
A23
A2F
A2L
A2M
A38
A3P
A40
A43
A44
A47
A5L
A5M
A5O
A66
A6A
A6C
A6G
A6U
A9Z
ABR
ABS
ACP
AD2
ADE
ADI
ADK
ADP
AET
AF2
AG9
AGD
AGS
AMO
AMP
ANG
ANP
ANZ
AP7
APC
APN
AS
AT7
ATD
ATL
ATM
ATP
AVC
AZT
B7C
B8H
B8K
B8Q
B8T
BA2
BB9
BGM
BGR
BLS
BOE
BRG
BRU
C2E
C2L
C2S
C31
C34
C36
C37
C38
C42
C43
C45
C46
C49
C4S
C5P
C66
C6G
CAR
CBR
CBV
CCC
CFL
CFZ
CG1
CH
CH1
CM0
CMP
CMR
CP1
CPN
CSG
CSL
CSM
CTG
CTP
CUD
CX2
CYT
D3N
D3T
D5M
DAD
DAL
DBB
DBU
DCM
DCP
DCT
DCY
DCZ
DDG
DDS
DDY
DG3
DG8
DGP
DGT
DHA
DI
DJF
DNR
DOC
DTP
DU
DUP
DUR
DUT
DUZ
DX4
DZ4
DZM
E
E1X
E3C
EDA
EDC
EEM
EFG
EHG
EIT
EPE
F2A
F3A
F3H
F3N
F4H
F5H
F6H
FA2
FAG
FAX
FDG
FGA
FHA
FHG
FHU
FMG
FMU
FOX
FYA
G1C
G1M
G2C
G2L
G2M
G2P
G2S
G31
G36
G38
G46
G47
G48
G49
G7M
GAO
GBR
GCK
GCP
GDO
GDP
GF2
GFC
GFF
GFH
GFL
GFM
GGH
GH3
GMP
GMS
GMU
GN7
GNE
GNG
GNP
GOM
GPN
GRB
GRC
GS
GSR
GSS
GSU
GTF
GTP
GUN
GX1
H2U
HEU
HFA
HGL
HMU
HN0
HN1
HPA
HXB
HXZ
I
IC
IG
IGU
IMC
IPN
IU
JDT
KAG
KIR
L8P
LCA
LCC
LCG
LGP
LHC
LKC
LLP
LMS
M1G
M2G
M5M
M7A
MA6
MA7
MAD
MAU
MCY
MDJ
MDK
MDQ
MDU
MDV
ME6
MEA
MFT
MG1
MGT
MH6
MHT
MHV
MHW
MIA
MMT
MNU
MRG
MSE
MSP
MTU
MVA
N2G
N5C
N5M
N6G
N6M
N79
NEA
NH2
NMS
NMT
NYM
O2C
O2G
OGX
OHU
OMC
OMG
OMU
ONE
OXG
P
P2T
P2U
P5P
PBT
PDU
PGN
PGP
PLR
PPU
PPW
PPZ
PQ0
PQ1
PRF
PRN
PSD
PST
PSU
PU
PUY
PVX
PYO
QBT
QSI
QUO
R
RCE
RIA
RMP
RPC
RSP
RSQ
RUS
S2M
S4A
S4C
S4G
S6G
SC
SDG
SFG
SMP
SMT
SOS
SPT
SRA
SSA
SSJ
SSU
SUR
T23
T2S
T2T
T32
T38
T39
T3P
T41
T48
T49
T4S
T5O
T5S
T66
T6A
TAF
TCP
TCY
TDR
TDY
TED
TEP
TFE
TFF
TFO
TFT
TGP
THM
THP
THX
TLB
TLC
TLN
TM2
TMP
TNV
TP1
TPC
TPN
TSB
TSP
TT
TTD
TTE
TTI
TTM
TTP
TX2
U2L
U31
U33
U34
U36
U37
U3H
U5P
U8U
UAR
UBB
UBD
UBI
UCL
UD5
UDP
UF2
UFP
UFR
UFT
UMP
UMS
UMX
UPC
UPE
UPG
UPS
UPV
UR3
URA
URI
URX
US1
US2
US3
US4
US5
USM
UTP
UVX
UZR
VAA
X
XAD
XAE
XAL
XAN
XAR
XCL
XCR
XCT
XCY
XG4
XGA
XGL
XGR
XGU
XJS
XTF
XTH
XTL
XTR
XUA
XUG
Y
YCO
YG
YMP
YYG
Z
ZAD
ZAN
ZBC
ZBU
ZCY
ZDU
ZGU
ZHP
ZP4
ZTH
