code
12P
15P
16A
1FH
1PE
1PG
202
2BM
2FH
2FU
2ME
2MO
2NO
2OF
2PA
2PN
2PO
3BR
3CN
3CO
3OF
42B
4OA
543
6WO
7PE
ACA
ACT
ACU
ACY
AEM
AF3
AL
AR
ARS
ATO
AU
AU3
AUC
AZI
B3P
BBU
BBX
BEF
BF2
BF4
BO4
BOG
BRJ
BRM
BRO
BRP
BTB
C10
C15
C2C
C2O
C8E
CAC
CAT
CB5
CBM
CBX
CCH
CCN
CD1
CD3
CD5
CE
CE1
CEQ
CFM
CFN
CFO
CFT
CHM
CIT
CLF
CLN
CLO
CLP
CM
CN1
CNB
CNF
CNM
CO5
COH
COM
CON
CP2
CPS
CPT
CR
CS
CUA
CUL
CUM
CUN
CUO
CUZ
CXE
DDH
DET
DHE
DIS
DOD
DPG
DPO
DTN
DTV
DUM
DVT
DXE
DZZ
E1H
EDO
EGL
EHN
EMC
ENC
EOH
EOM
EPE
ETF
ETI
ETN
EU
EU3
F09
F2O
F3S
F50
FCO
FDD
FDE
FEA
FEC
FEL
FEO
FES
FLH
FME
FMI
FMS
FMT
FNE
FPO
FS1
FS2
FS3
FS4
FSO
FSX
GA
GAI
GD
GD3
GOL
HDD
HDN
HE5
HE6
HEA
HEB
HEC
HES
HEV
HEZ
HFM
HG2
HGC
HGI
HLT
HNI
HO
HO3
HSG
HSH
HSW
HTO
I42
IN
IOH
IPA
IR
IR3
IRI
IUM
KO4
KR
L
LA
LCP
LDA
LI
LI1
LMT
LMU
LU
MA4
MAC
MDD
MES
MGF
MH2
MH3
MHM
MLP
MM4
MMC
MN5
MN6
MNC
MNH
MNR
MO1
MO3
MO4
MO5
MO6
MO7
MOO
MOS
MP1
MPD
MPO
MPR
MPS
MQD
MRD
MSF
MTD
MTF
MTO
MW1
MW2
MW3
MXE
MYQ
NA2
NA5
NA6
NAW
NCO
NCP
ND4
NFB
NFC
NFE
NFO
NFR
NFS
NGN
NHE
NI1
NI2
NI3
NIK
NML
NMO
NO
NO3
NOE
NRU
O
O2
O4M
OC1
OC3
OC4
OC5
OC6
OC7
OC8
OCL
OCM
OCN
OCO
OEC
OES
OF0
OF1
OF2
OF3
OHX
OMO
OS
OSM
OX
P24
P2K
P33
P6G
PBM
PC3
PC4
PCL
PD
PDT
PE3
PE4
PE5
PEG
PEJ
PEU
PG0
PG4
PG5
PGE
PGL
PGQ
PIS
PNL
PO2
PO3
PO4
PON
POP
POR
PP9
PPK
PPM
PR
PS5
PSL
PT
PT4
PTL
PTN
RE
REO
RGI
RHD
ROP
RTC
RU
RU7
S
S0H
S9L
SB
SBE
SBO
SBT
SBY
SE
SEA
SEK
SF3
SF4
SFN
SFO
SGM
SIN
SM
SMO
SO4
SOG
SOM
SPD
SPK
SPM
SRM
SUL
SX
T1A
T3A
TAS
TB
TBA
TBR
TBU
TCH
TCN
TE
TEE
TFA
TFH
TL
TLA
TRS
TSD
TSE
TSM
TZZ
U1
UNX
URU
V
V40
V70
VA3
VER
VO3
VSO
VX
VXA
WCC
WO2
WO4
WO5
XCC
XL1
XPE
Y1
YB
YBT
YH
YT3
ZEM
ZH3
ZN1
ZN2
ZN3
ZNO
ZO3
ZRC
